Keyword,Lat,Lon,Timestamp
common cold,51.50015259,-0.1262362,12/1/2011 23:00
common cold,48.85661316,2.352221966,12/1/2011 23:00
common cold,50.79891205,-1.091162682,12/1/2011 23:00
common cold,53.77097321,-2.474803925,12/1/2011 23:00
common cold,51.69005585,3.736207008,12/1/2011 23:50
common cold,48.85661316,2.352221966,12/2/2011 0:00
common cold,53.55293274,-1.481272221,12/2/2011 0:50
common cold,51.89799118,-2.071308374,12/2/2011 1:00
common cold,51.92421722,4.481776237,12/2/2011 1:00
common cold,53.52304077,-1.13376224,12/2/2011 1:50
common cold,53.81696701,-3.039508104,12/2/2011 1:50
common cold,51.81579208,-0.816662073,12/2/2011 2:00
common cold,51.7959671,-0.078881599,12/2/2011 2:00
common cold,53.48071289,-2.234376431,12/2/2011 2:00
common cold,53.34410477,-6.267493725,12/2/2011 2:00
common cold,52.05599213,-2.717546701,12/2/2011 2:00
common cold,54.13877869,-1.524211764,12/2/2011 2:00
common cold,54.97784042,-1.61291647,12/2/2011 2:00
common cold,51.58774185,-2.998342991,12/2/2011 2:50
common cold,53.48071289,-2.234376431,12/2/2011 2:50
common cold,56.49067307,-4.202645779,12/2/2011 2:50
common cold,53.44560242,-2.222447395,12/2/2011 2:50
common cold,51.50015259,-0.1262362,12/2/2011 2:50
common cold,52.24485016,0.405337006,12/2/2011 2:50
common cold,52.57024765,-0.243733704,12/2/2011 2:50
common cold,54.01958466,-0.576245487,12/2/2011 3:00
common cold,58.24361038,-6.667201996,12/2/2011 3:00
common cold,51.50015259,-0.1262362,12/2/2011 3:00
common cold,55.86562729,-4.257222652,12/2/2011 3:00
common cold,52.01902771,-0.770427406,12/2/2011 3:50
common cold,51.50015259,-0.1262362,12/2/2011 3:50
common cold,55.37805176,-3.435972929,12/2/2011 3:50
common cold,52.74012375,-1.140592456,12/2/2011 3:50
common cold,52.30935287,-2.595856905,12/2/2011 3:50
common cold,53.48071289,-2.234376431,12/2/2011 3:50
common cold,52.01902771,-0.770427406,12/2/2011 3:50
common cold,51.06739807,-1.797626257,12/2/2011 3:50
common cold,51.50015259,-0.1262362,12/2/2011 3:50
common cold,52.01902771,-0.770427406,12/2/2011 3:50
common cold,53.48071289,-2.234376431,12/2/2011 4:00
common cold,51.50015259,-0.1262362,12/2/2011 4:00
common cold,53.99061584,-1.539111733,12/2/2011 4:00
common cold,53.52304077,-1.13376224,12/2/2011 4:00
common cold,51.50015259,-0.1262362,12/2/2011 4:00
common cold,53.34410477,-6.267493725,12/2/2011 4:00
common cold,52.95511627,-1.149171829,12/2/2011 4:00
common cold,53.34410477,-6.267493725,12/2/2011 4:00
common cold,51.44145203,-0.831101,12/2/2011 4:50
common cold,51.50015259,-0.1262362,12/2/2011 4:50
common cold,52.13263321,5.291265965,12/2/2011 4:50
common cold,53.41077805,-2.977838278,12/2/2011 4:50
common cold,51.76590729,0.667366505,12/2/2011 4:50
common cold,51.87965012,-0.417558014,12/2/2011 4:50
common cold,51.50828171,-0.130568907,12/2/2011 4:50
common cold,56.49067307,-4.202645779,12/2/2011 4:50
common cold,52.05796432,-0.854953408,12/2/2011 4:50
common cold,54.54157639,-3.588947058,12/2/2011 5:00
common cold,51.26225281,-0.467251688,12/2/2011 5:00
common cold,54.78771591,-6.492314339,12/2/2011 5:00
common cold,53.41077805,-2.977838278,12/2/2011 5:00
common cold,53.99997711,-6.403735638,12/2/2011 5:00
common cold,51.50015259,-0.1262362,12/2/2011 5:00
common cold,53.34410477,-6.267493725,12/2/2011 5:00
common cold,52.01902771,-0.770427406,12/2/2011 5:00
common cold,54.78527451,-1.353574753,12/2/2011 5:00
common cold,50.99324036,-0.095216997,12/2/2011 5:50
common cold,52.01902771,-0.770427406,12/2/2011 5:50
common cold,55.86562729,-4.257222652,12/2/2011 5:50
common cold,55.86562729,-4.257222652,12/2/2011 5:50
common cold,51.50015259,-0.1262362,12/2/2011 5:50
common cold,52.48295975,-1.893592,12/2/2011 6:00
common cold,51.50015259,-0.1262362,12/2/2011 6:00
common cold,47.48952866,-0.508111894,12/2/2011 6:00
common cold,53.48071289,-2.234376431,12/2/2011 6:00
common cold,52.01902771,-0.770427406,12/2/2011 6:00
common cold,51.39457321,-0.110125802,12/2/2011 6:50
common cold,54.90444946,-1.381453276,12/2/2011 6:50
common cold,50.90496445,-1.403234005,12/2/2011 6:50
common cold,53.41077805,-2.977838278,12/2/2011 7:00
common cold,53.48071289,-2.234376431,12/2/2011 7:00
common cold,55.51588058,-4.379149914,12/2/2011 7:00
common cold,51.50015259,-0.1262362,12/2/2011 7:00
common cold,52.01902771,-0.770427406,12/2/2011 7:00
common cold,48.70206833,2.163608789,12/2/2011 7:00
common cold,53.41291046,-8.243889809,12/2/2011 7:00
common cold,51.50015259,-0.1262362,12/2/2011 7:00
common cold,53.20096588,-0.557707012,12/2/2011 7:10
common cold,51.75221252,-1.219949603,12/2/2011 7:30
common cold,56.26391983,9.501785278,12/2/2011 7:40
common cold,51.88980484,0.901234806,12/2/2011 7:40
common cold,53.38305664,-1.464795351,12/2/2011 7:50
common cold,54.78771591,-6.492314339,12/2/2011 7:50
common cold,53.23486328,-0.538435996,12/2/2011 7:50
common cold,52.95511627,-1.149171829,12/2/2011 7:50
common cold,53.7443428,-0.332443297,12/2/2011 7:50
common cold,55.37805176,-3.435972929,12/2/2011 7:50
common cold,53.38305664,-1.464795351,12/2/2011 7:50
common cold,56.49067307,-4.202645779,12/2/2011 7:50
common cold,52.05599213,-2.717546701,12/2/2011 7:50
common cold,60.47202301,8.468946457,12/2/2011 8:50
common cold,52.09298706,-7.625464439,12/2/2011 8:50
common cold,51.29481888,7.188119888,12/2/2011 8:50
common cold,51.50015259,-0.1262362,12/2/2011 8:50
common cold,51.34762573,-2.979300261,12/2/2011 8:50
common cold,54.28013611,-0.402400702,12/2/2011 8:50
common cold,53.04690933,-2.991673231,12/2/2011 8:50
common cold,51.50015259,-0.1262362,12/2/2011 9:00
common cold,52.25226974,-7.127205849,12/2/2011 9:00
common cold,51.50015259,-0.1262362,12/2/2011 9:00
common cold,49.50793839,6.535830021,12/2/2011 9:00
common cold,53.79964066,-1.549122095,12/2/2011 9:50
common cold,51.55170441,-0.158825502,12/2/2011 9:50
common cold,52.55553055,4.654918671,12/2/2011 9:50
common cold,52.37021637,4.895167828,12/2/2011 9:50
common cold,53.41077805,-2.977838278,12/2/2011 10:00
common cold,51.23641968,-0.570291221,12/2/2011 10:00
common cold,50.99324036,-0.095216997,12/2/2011 10:00
common cold,52.33916092,-6.460124493,12/2/2011 10:50
common cold,53.41077805,-2.977838278,12/2/2011 10:50
common cold,49.21443939,-2.131249905,12/2/2011 10:50
common cold,53.41077805,-2.977838278,12/2/2011 10:50
common cold,51.50015259,-0.1262362,12/2/2011 10:50
common cold,53.41077805,-2.977838278,12/2/2011 11:00
common cold,52.62810135,1.299349427,12/2/2011 11:00
